Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
193000,San Blas,Piso,1,1,45,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-zona-comunitaria-ascensor-piscina-piscina/152570283/d
190000,Chamberí,Piso,1,1,36,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159288081/d
499000,Moncloa,Piso,3,3,223,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-zona-comunitaria-ascensor-piscina-piscina/156390834/d
299990,Chamberí,Loft,1,1,83,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/justicia---chueca/152381715/d
674000,Tetuán,Piso,2,2,111,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-amueblado/159262917/d
256000,Vicálvaro,Piso,3,2,60,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-amueblado/157121586/d
382000,Centro,Piso,4,2,117,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-zona-comunitaria-ascensor/155191493/d
199000,Fuencarral,Piso,1,1,48,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/155254020/d
285000,Salamanca,Piso,3,1,80,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor/158173797/d
164000,Tetuán,Piso,1,1,45,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159338199/d
214500,Centro,Piso,3,1,81,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/155179767/d
545000,Chamberí,Piso,2,2,116,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159009351/d
242000,Carabanchel,Piso,2,1,46,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/156462621/d
479000,Moncloa,Piso,3,2,109,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/156390815/d
710000,Retiro,Piso,4,3,113,12,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-piscina-amueblado/155933746/d
555000,Vicálvaro,Piso,3,2,156,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor/159262918/d
164000,Chamberí,Loft,1,2,83,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-ascensor/157891449/d
299000,Vicálvaro,Piso,2,1,81,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/159131964/d
549000,Retiro,Piso,3,1,100,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/158328301/d
285000,Centro,Piso,3,2,76,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/152363229/d
150000,Tetuán,Piso,3,1,71,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/159385621/d
112000,Centro,Piso,1,1,35,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/159385457/d
239000,Chamberí,Piso,2,1,62,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/157118468/d
499000,Salamanca,Piso,2,2,80,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television/155732362/d
1750000,Salamanca,Piso,3,3,170,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158385449/d
1495000,Carabanchel,Piso,3,4,230,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-patio-no-amueblado/152822900/d
198000,Fuencarral,Piso,1,1,49,1,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-trastero-ascensor-piscina-piscina/156428626/d
436500,Villaverde,Piso,5,2,170,5,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/151711182/d
430000,Centro,Piso,2,1,68,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159361202/d
130000,Puente de Vallecas,Piso,3,1,80,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/157164680/d
480000,Chamberí,Piso,2,2,80,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/158214702/d
325000,Ciudad Lineal,Piso,2,2,79,13,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor-piscina/157983533/d
499000,Hortaleza,Piso,3,2,119,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-trastero-ascensor-piscina/158121932/d
795000,Latina,Casa adosada,4,4,273,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking/157357929/d
269000,Hortaleza,Piso,4,2,125,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/159380898/d
149000,Fuencarral,Piso,3,1,76,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/157695460/d
760000,Chamberí,Ático,4,4,180,6,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina-piscina-no-amueblado/158562055/d
2200000,Fuencarral,Piso,5,5,320,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-parking/156257520/d
2495000,Hortaleza,Casa adosada,5,6,460,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-television-internet/158113452/d
